GameIndex,GameWinner,GameTimestamp,RoundIndex,RoundWinner,RoundTimestamp,StartedAt,UpdatedAt,Actor,Target,Category,State,Name,Duration,Reason,BotPosX,BotPosY,BotLinv,BotAngv,BotRot,BotIsDashActive,BotIsSkillActive,BotIsOutFromArena,EnemyBotPosX,EnemyBotPosY,EnemyBotLinv,EnemyBotAngv,EnemyBotRot,EnemyBotIsDashActive,EnemyBotIsSkillActive,EnemyBotIsOutFromArena,ColActor,ColImpact,ColTieBreaker,ColLockDuration,ColBotPosX,ColBotPosY,ColBotLinv,ColBotAngv,ColBotRot,ColBotIsDashActive,ColBotIsSkillActive,ColBotIsOutFromArena,ColEnemyBotPosX,ColEnemyBotPosY,ColEnemyBotLinv,ColEnemyBotAngv,ColEnemyBotRot,ColEnemyBotIsDashActive,ColEnemyBotIsSkillActive,ColEnemyBotIsOutFromArena
1,1,20250925_111545,1,1,20250925_111545,0.101575948,0.101575948,0,,Action,0,TurnLeft,0.1,,-3.30086637,2.01016259,0,0,270,0,0,0,3.69913363,2.01016259,0,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,0.101575948,0.101575948,0,,Action,0,Accelerate,0.1,,-3.30086637,2.01016259,0,0,270,0,0,0,3.69913363,2.01016259,0,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,0.101575948,0.101575948,1,,Action,0,Accelerate,0.834212,,3.69913363,2.01016259,0,0,90,0,0,0,-3.30086637,2.01016259,0,0,270,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,0.241825938,0.241825938,0,,Action,0,TurnRight,0.1,,-2.74566674,2.01016259,3.76,0,290,0,0,0,3.13913417,2.01016259,4,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,0.241825938,0.241825938,1,,Action,1,Accelerate,0.8207061,,3.13913417,2.01016259,4,0,90,0,0,0,-2.74566674,2.01016259,3.76,0,290,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,0.343221962,0.343221962,1,,Action,1,Accelerate,0.8058272,,2.73913455,2.01016259,4,0,90,0,0,0,-2.43217015,2.01016259,2.75947928,0,270,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,0.444304049,0.444304049,0,,Action,1,TurnRight,0.1,,-2.03217053,2.01016259,4,0,290,0,0,0,2.339135,2.01016259,4,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,0.444304049,0.444304049,1,,Action,1,Accelerate,0.7907113,,2.339135,2.01016259,4,0,90,0,0,0,-2.03217053,2.01016259,4,0,290,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,0.544955969,0.544955969,0,,Action,1,Accelerate,0.1,,-1.677376,2.01016259,3.12299585,0,270,0,0,0,1.93913531,2.01016259,4,0,90,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,0.544955969,0.544955969,1,,Action,1,Accelerate,0.775311351,,1.93913531,2.01016259,4,0,90,0,0,0,-1.677376,2.01016259,3.12299585,0,270,0,0,0,,,,,,,,,,,,,,,,,,,,
