GameIndex,GameWinner,GameTimestamp,RoundIndex,RoundWinner,RoundTimestamp,StartedAt,UpdatedAt,Actor,Target,Category,State,Name,Duration,Reason,BotPosX,BotPosY,BotLinv,BotAngv,BotRot,BotIsDashActive,BotIsSkillActive,BotIsOutFromArena,EnemyBotPosX,EnemyBotPosY,EnemyBotLinv,EnemyBotAngv,EnemyBotRot,EnemyBotIsDashActive,EnemyBotIsSkillActive,EnemyBotIsOutFromArena,ColActor,ColImpact,ColTieBreaker,ColLockDuration,ColBotPosX,ColBotPosY,ColBotLinv,ColBotAngv,ColBotRot,ColBotIsDashActive,ColBotIsSkillActive,ColBotIsOutFromArena,ColEnemyBotPosX,ColEnemyBotPosY,ColEnemyBotLinv,ColEnemyBotAngv,ColEnemyBotRot,ColEnemyBotIsDashActive,ColEnemyBotIsSkillActive,ColEnemyBotIsOutFromArena
1,1,20250925_111545,1,1,20250925_111545,0,0.8769057,0,1,Collision,0,,0,,-0.391310543,2.01016259,4.12,733.3857,270,0,0,0,0.6030647,2.01016259,3.88,733.3857,90,0,0,0,TRUE,1.94,FALSE,0.95,-0.391310543,2.01016259,4.12,733.3857,270,0,0,0,0.6030647,2.01016259,3.88,733.3857,90,0,0,0
1,1,20250925_111545,1,1,20250925_111545,0,0.8769057,1,,Collision,0,,0,,0.6030647,2.01016259,3.88,733.3857,90,0,0,0,-0.391310543,2.01016259,4.12,733.3857,270,0,0,0,FALSE,2.06,FALSE,1.05,0.6030647,2.01016259,3.88,733.3857,90,0,0,0,-0.391310543,2.01016259,4.12,733.3857,270,0,0,0
1,1,20250925_111545,1,1,20250925_111545,0.8769057,1.82773483,0,,Collision,2,,0.950829148,,-2.18648028,2.01016259,0.330736637,37.23609,192.494644,0,0,0,2.36268616,2.01016259,0.324187338,37.9883461,18.20163,0,0,0,TRUE,1.94,FALSE,0.95,-2.18648028,2.01016259,0.330736637,37.23609,192.494644,0,0,0,2.36268616,2.01016259,0.324187338,37.9883461,18.20163,0,0,0
1,1,20250925_111545,1,1,20250925_111545,1.85557294,1.85557294,0,,Action,0,TurnLeft,0.15,,-2.19269824,2.01016259,0.310892433,34.6553726,193.187759,0,0,0,2.36878085,2.01016259,0.3047361,35.35549,18.9087524,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,1.85557294,1.85557294,0,,Action,0,Accelerate,0.1,,-2.19269824,2.01016259,0.310892433,34.6553726,193.187759,0,0,0,2.36878085,2.01016259,0.3047361,35.35549,18.9087524,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,0.8769057,1.9286288,1,,Collision,2,,1.05172312,,2.38971567,2.01016259,0.237922415,26.5266762,21.2799377,0,0,0,-2.11969256,1.698602,4,27.05715,209.187759,0,0,0,FALSE,2.06,FALSE,1.05,2.38971567,2.01016259,0.237922415,26.5266762,21.2799377,0,0,0,-2.11969256,1.698602,4,27.05715,209.187759,0,0,0
1,1,20250925_111545,1,1,20250925_111545,1.95802081,1.95802081,0,,Action,1,TurnLeft,0.15,,-2.08318973,1.54282165,4,23.9077,217.187759,0,0,0,2.39839315,2.01016259,0.210228249,22.9771328,22.2332458,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,1.95802081,1.95802081,1,,Action,0,TurnLeft,0.368600279,,2.39839315,2.01016259,0.210228249,22.9771328,22.2332458,0,0,0,-2.08318973,1.54282165,4,23.9077,217.187759,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.05952287,2.05952287,0,,Action,1,TurnLeft,0.15,,-2.00710249,1.21811008,2.93561649,17.5459576,237.187775,0,0,0,2.41592145,2.01016259,0.154287383,16.8630123,42.2332458,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.05952287,2.05952287,0,,Action,1,Accelerate,0.1,,-2.00710249,1.21811008,2.93561649,17.5459576,237.187775,0,0,0,2.41592145,2.01016259,0.154287383,16.8630123,42.2332458,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.05952287,2.05952287,1,,Action,1,TurnLeft,0.2895969,,2.41592145,2.01016259,0.154287383,16.8630123,42.2332458,0,0,0,-2.00710249,1.21811008,2.93561649,17.5459576,237.187775,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.16520715,2.16520715,0,,Action,1,TurnLeft,0.133181214,,-1.67092216,1.00135541,4,12.8770514,257.187775,0,0,0,2.42878556,2.01016259,0.113232151,12.3758345,62.2332458,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.16520715,2.16520715,1,,Action,1,TurnLeft,0.20795384,,2.42878556,2.01016259,0.113232151,12.3758345,62.2332458,0,0,0,-1.67092216,1.00135541,4,12.8770514,257.187775,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.26576543,2.26576543,0,,Action,1,TurnLeft,0.1,,-1.37273479,0.8090967,3.12299633,9.45052052,277.187775,0,0,0,2.43822646,2.01016259,0.08310155,9.082675,82.2332458,0,0,0,,,,,,,,,,,,,,,,,,,,
1,1,20250925_111545,1,1,20250925_111545,2.26576543,2.26576543,0,,Action,1,Accelerate,0.1,,-1.37273479,0.8090967,3.12299633,9.45052052,277.187775,0,0,0,2.43822646,2.01016259,0.08310155,9.082675,82.2332458,0,0,0,,,,,,,,,,,,,,,,,,,,
